BAIRRO DAS GRAÇAS;;;;
;;;AVALIAÇÃO MUNICIPAL;
13;;SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ NÃO VOTARIA DE JEITO NENHUM A PREFEITO OU PREFEITA DO MUNICÍPIO?;32;100.00%
;13.1;LAURA ARAUJO;12;37.50%
;13.2;TXAI (ORABOLAS);0;0.00%
;13.3;JULIA HORTA;1;3.13%
;13.4;MARTA GERVÁSIO;1;3.13%
;13.5;TÃOZINHO;2;6.25%
;13.6;QUERALA DA CENIBRA;0;0.00%
;13.7;MORIÁ;0;0.00%
;13.8;ANTÔNIO PIMENTEL;0;0.00%
;13.9;ARTUR MOREIRA;0;0.00%
;13.1;NÃO SABE/N. RESP.;16;50.00%
14;;"SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A
VEREADOR? ESPONTÂNEA";32;100.00%
;14.1.1;JULIA HORTA;1;3.13%
;14.1.2;TÃOZINHO;1;3.13%
;14.1.3;CHARLES;1;3.13%
;14.2;NÃO SABE/N. RESP.;29;90.63%
15;;"QUEM VOCÊ CONSIDERA A MAIOR LIDERANÇA DO
BAIRRO QUE MORA? ESPONTÂNEA";32;100.00%
;15.1.1;DIEGO FERRAMENTA;1;3.13%
;15.1.2;PADRE FLAVIO;1;3.13%
;15.1.3;TUCA;1;3.13%
;15.2;NÃO SABE/N. RESP.;29;90.63%
